"Overall Current Circumstance Score (Out of 60, 60 as most severe)","Overall, how satisfied are you with your life nowadays?",Please say what best describes your experience of each over the last 2 weeks. (I've been feeling optimistic about the future),Please say what best describes your experience of each over the last 2 weeks. (I've been feeling useful),Please say what best describes your experience of each over the last 2 weeks. (I've been feeling relaxed),Please say what best describes your experience of each over the last 2 weeks. (I've been dealing with problems well),Please say what best describes your experience of each over the last 2 weeks. (I've been thinking clearly),Please say what best describes your experience of each over the last 2 weeks. (I've been feeling close to other people),Please say what best describes your experience of each over the last 2 weeks. (I've been able to make up my own mind about things),"Thinking about the last year, have you been able to (Go out and do something you enjoy?)","Thinking about the last year, have you been able to (Enjoy other people’s company?)","Thinking about the last year, have you been able to (Have a break when you’ve needed one?)"
48,2,Rarely,Some of the time,None of the time,Rarely,Some of the time,Rarely,Some of the time,Strongly disagree,Disagree,Strongly disagree
43,3,Rarely,All of the time,None of the time,Some of the time,Some of the time,Rarely,Often,Strongly disagree,Disagree,Strongly disagree
39,4,Some of the time,Some of the time,Rarely,Some of the time,Some of the time,Rarely,Often,Disagree,Neutral,Disagree
48,4,Some of the time,Some of the time,Rarely,None of the time,None of the time,None of the time,None of the time,Strongly disagree,Agree,Strongly disagree
41,4,Some of the time,Some of the time,Rarely,Rarely,Rarely,Some of the time,Often,Strongly disagree,Agree,Strongly disagree
44,2,None of the time,Some of the time,Rarely,All of the time,Some of the time,Rarely,Some of the time,Strongly disagree,Neutral,Strongly disagree
42,1,Rarely,Some of the time,Rarely,Some of the time,Rarely,Some of the time,Some of the time,Neutral,Agree,Disagree
44,3,Rarely,Rarely,None of the time,Rarely,Some of the time,Some of the time,Some of the time,Neutral,Neutral,Strongly disagree
42,4,Rarely,Often,Rarely,Some of the time,Some of the time,Rarely,Often,Strongly disagree,Disagree,Strongly disagree
42,3,Rarely,Some of the time,Rarely,Rarely,Some of the time,Some of the time,Often,Disagree,Neutral,Strongly disagree
38,4,Rarely,Often,Rarely,Some of the time,Some of the time,Some of the time,Often,Disagree,Agree,Strongly disagree
40,4,Often,Rarely,Some of the time,Some of the time,Often,Some of the time,Often,Strongly disagree,Strongly disagree,Strongly disagree
35,5,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Neutral,Neutral,Neutral
40,6,Some of the time,Rarely,Rarely,Some of the time,Rarely,Some of the time,Rarely,Neutral,Disagree,Disagree
37,6,Some of the time,Some of the time,Rarely,Some of the time,Rarely,Rarely,Some of the time,Neutral,Agree,Disagree
35,5,Some of the time,Often,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Disagree,Neutral,Neutral
35,7,Often,None of the time,Some of the time,Rarely,Some of the time,Some of the time,None of the time,Agree,Neutral,Agree
37,3,Some of the time,Some of the time,Some of the time,None of the time,Often,All of the time,Some of the time,Agree,Neutral,Strongly disagree
36,5,None of the time,None of the time,Some of the time,Often,Some of the time,Often,Often,Neutral,Neutral,Neutral
33,8,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Rarely,Some of the time,Neutral,Agree,Disagree
33,6,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Often,Neutral,Agree,Disagree
25,8,Often,All of the time,Some of the time,Often,Often,Some of the time,All of the time,Neutral,Agree,Disagree
22,8,Often,Often,All of the time,Often,Often,All of the time,Rarely,Agree,Agree,Agree
34,5,Some of the time,Some of the time,Rarely,Some of the time,Often,Some of the time,All of the time,Neutral,Neutral,Disagree
9,6,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure
