OutwardCode,CityName
AB1,Aberdeen
AB10,Aberdeen
AB11,Aberdeen
AB12,Aberdeen
AB13,Aberdeen
AB14,Aberdeen
AB15,Aberdeen
AB16,Aberdeen
AB17,Aberdeen
AB18,Aberdeen
AB19,Aberdeen
AB2,Aberdeen
AB20,Aberdeen
AB21,Aberdeen
AB22,Aberdeen
AB23,Aberdeen
AB24,Aberdeen
AB25,Aberdeen
AB26,Aberdeen
AB27,Aberdeen
AB28,Aberdeen
AB29,Aberdeen
AB3,Aberdeen
AB30,Aberdeen
AB31,Aberdeen
AB32,Aberdeen
AB33,Aberdeen
AB34,Aberdeen
AB35,Aberdeen
AB36,Aberdeen
AB37,Aberdeen
AB38,Aberdeen
AB39,Aberdeen
AB4,Aberdeen
AB40,Aberdeen
AB41,Aberdeen
AB42,Aberdeen
AB43,Aberdeen
AB44,Aberdeen
AB45,Aberdeen
AB46,Aberdeen
AB47,Aberdeen
AB48,Aberdeen
AB49,Aberdeen
AB5,Aberdeen
AB50,Aberdeen
AB51,Aberdeen
AB52,Aberdeen
AB53,Aberdeen
AB54,Aberdeen
AB55,Aberdeen
AB56,Aberdeen
AB6,Aberdeen
AB7,Aberdeen
AB8,Aberdeen
AB9,Aberdeen
AL1,St Albans
AL10,St Albans
AL2,St Albans
AL3,St Albans
AL4,St Albans
AL5,St Albans
AL6,St Albans
AL7,St Albans
AL8,St Albans
AL9,St Albans
B1,Birmingham
B10,Birmingham
B11,Birmingham
B12,Birmingham
B13,Birmingham
B14,Birmingham
B15,Birmingham
B16,Birmingham
B17,Birmingham
B18,Birmingham
B19,Birmingham
B2,Birmingham
B20,Birmingham
B21,Birmingham
B22,Birmingham
B23,Birmingham
B24,Birmingham
B25,Birmingham
B26,Birmingham
B27,Birmingham
B28,Birmingham
B29,Birmingham
B3,Birmingham
B30,Birmingham
B31,Birmingham
B32,Birmingham
B33,Birmingham
B34,Birmingham
B35,Birmingham
B36,Birmingham
B37,Birmingham
B38,Birmingham
B39,Birmingham
B4,Birmingham
B40,Birmingham
B41,Birmingham
B42,Birmingham
B43,Birmingham
B44,Birmingham
B45,Birmingham
B46,Birmingham
B47,Birmingham
B48,Birmingham
B49,Birmingham
B5,Birmingham
B50,Birmingham
B51,Birmingham
B52,Birmingham
B53,Birmingham
B54,Birmingham
B55,Birmingham
B56,Birmingham
B57,Birmingham
B58,Birmingham
B59,Birmingham
B6,Birmingham
B60,Birmingham
B61,Birmingham
B62,Birmingham
B63,Birmingham
B64,Birmingham
B65,Birmingham
B66,Birmingham
B67,Birmingham
B68,Birmingham
B69,Birmingham
B7,Birmingham
B70,Birmingham
B71,Birmingham
B72,Birmingham
B73,Birmingham
B74,Birmingham
B75,Birmingham
B76,Birmingham
B77,Birmingham
B78,Birmingham
B79,Birmingham
B8,Birmingham
B80,Birmingham
B81,Birmingham
B82,Birmingham
B83,Birmingham
B84,Birmingham
B85,Birmingham
B86,Birmingham
B87,Birmingham
B88,Birmingham
B89,Birmingham
B9,Birmingham
B90,Birmingham
B91,Birmingham
B92,Birmingham
B93,Birmingham
B94,Birmingham
B95,Birmingham
B96,Birmingham
